Sigma(Neff),Spin-0,Spin-½,Spin-1,FORECAST,,,
0.1575,8.943E+01,1.465E+02,1.537E+02,,,,
0.1580,8.878E+01,1.463E+02,1.536E+02,,,,
0.1585,8.813E+01,1.461E+02,1.534E+02,,,,
0.1590,8.747E+01,1.460E+02,1.532E+02,,,,
0.1595,8.681E+01,1.458E+02,1.530E+02,,,,
0.1600,8.615E+01,1.456E+02,1.529E+02,,,,
0.1605,8.548E+01,1.454E+02,1.527E+02,,,,
0.1610,8.481E+01,1.452E+02,1.525E+02,,,,
0.1615,8.414E+01,1.450E+02,1.524E+02,,,,
0.1620,8.347E+01,1.448E+02,1.522E+02,,,,
0.1625,8.280E+01,1.446E+02,1.520E+02,,,,
0.1630,8.213E+01,1.444E+02,1.519E+02,,,,
0.1635,8.146E+01,1.442E+02,1.517E+02,,,,
0.1640,8.079E+01,1.440E+02,1.515E+02,,,,
0.1645,8.012E+01,1.438E+02,1.514E+02,,,,
0.1650,7.945E+01,1.436E+02,1.512E+02,,,,
0.1655,7.879E+01,1.434E+02,1.511E+02,,,,
0.1660,7.812E+01,1.432E+02,1.509E+02,,,,
0.1665,7.746E+01,1.430E+02,1.508E+02,,,,
0.1670,7.680E+01,1.428E+02,1.506E+02,,,,
0.1675,7.614E+01,1.426E+02,1.504E+02,,,,
0.1680,7.549E+01,1.424E+02,1.503E+02,,,,
0.1685,7.484E+01,1.422E+02,1.501E+02,,,,
0.1690,7.419E+01,1.420E+02,1.500E+02,,,,
0.1695,7.355E+01,1.418E+02,1.498E+02,,,,
0.1700,7.291E+01,1.416E+02,1.497E+02,,,,
0.1705,7.227E+01,1.413E+02,1.495E+02,,,,
0.1710,7.164E+01,1.411E+02,1.494E+02,,,,
0.1715,7.101E+01,1.409E+02,1.492E+02,,,,
0.1720,7.039E+01,1.407E+02,1.490E+02,,,,
0.1725,6.977E+01,1.405E+02,1.489E+02,,,,
0.1730,6.916E+01,1.403E+02,1.487E+02,,,,
0.1735,6.855E+01,1.400E+02,1.486E+02,,,,
0.1740,6.795E+01,1.398E+02,1.484E+02,,,,
0.1745,6.735E+01,1.396E+02,1.483E+02,,,,
0.1750,6.675E+01,1.394E+02,1.481E+02,,,,
0.1755,6.616E+01,1.392E+02,1.479E+02,,,,
0.1760,6.558E+01,1.390E+02,1.478E+02,,,,
0.1765,6.500E+01,1.388E+02,1.476E+02,,,,
0.1770,6.443E+01,1.385E+02,1.475E+02,,,,
0.1775,6.386E+01,1.383E+02,1.473E+02,,,,
0.1780,6.330E+01,1.381E+02,1.472E+02,,,,
0.1785,6.275E+01,1.379E+02,1.470E+02,,,,
0.1790,6.220E+01,1.377E+02,1.468E+02,,,,
0.1795,6.165E+01,1.375E+02,1.467E+02,,,,
0.1800,6.111E+01,1.372E+02,1.465E+02,,,,
0.1805,6.058E+01,1.370E+02,1.464E+02,,,,
0.1810,6.005E+01,1.368E+02,1.462E+02,,,,
0.1815,5.953E+01,1.366E+02,1.460E+02,,,,
0.1820,5.901E+01,1.364E+02,1.459E+02,,,,
0.1825,5.850E+01,1.361E+02,1.457E+02,,,,
0.1830,5.800E+01,1.359E+02,1.455E+02,,,,
0.1835,5.750E+01,1.357E+02,1.454E+02,,,,
0.1840,5.700E+01,1.355E+02,1.452E+02,,,,
0.1845,5.651E+01,1.353E+02,1.450E+02,,,,
0.1850,5.603E+01,1.350E+02,1.449E+02,,,,
0.1855,5.556E+01,1.348E+02,1.447E+02,,,,
0.1860,5.508E+01,1.346E+02,1.445E+02,,,,
0.1865,5.462E+01,1.344E+02,1.443E+02,,,,
0.1870,5.416E+01,1.342E+02,1.442E+02,,,,
0.1875,5.371E+01,1.339E+02,1.440E+02,,,,
0.1880,5.326E+01,1.337E+02,1.438E+02,,,,
0.1885,5.281E+01,1.335E+02,1.436E+02,,,,
0.1890,5.238E+01,1.333E+02,1.435E+02,,,,
0.1895,5.194E+01,1.330E+02,1.433E+02,,,,
0.1900,5.152E+01,1.328E+02,1.431E+02,,,,
0.1905,5.109E+01,1.326E+02,1.429E+02,,,,
0.1910,5.068E+01,1.324E+02,1.428E+02,,,,
0.1915,5.027E+01,1.321E+02,1.426E+02,,,,
0.1920,4.986E+01,1.319E+02,1.424E+02,,,,
0.1925,4.946E+01,1.317E+02,1.422E+02,,,,
0.1930,4.907E+01,1.315E+02,1.420E+02,,,,
0.1935,4.868E+01,1.312E+02,1.418E+02,,,,
0.1940,4.829E+01,1.310E+02,1.417E+02,,,,
0.1945,4.791E+01,1.308E+02,1.415E+02,,,,
0.1950,4.754E+01,1.306E+02,1.413E+02,,,,
0.1955,4.717E+01,1.303E+02,1.411E+02,,,,
0.1960,4.680E+01,1.301E+02,1.409E+02,,,,
0.1965,4.644E+01,1.299E+02,1.407E+02,,,,
0.1970,4.608E+01,1.296E+02,1.405E+02,,,,
0.1975,4.573E+01,1.294E+02,1.403E+02,,,,
0.1980,4.539E+01,1.292E+02,1.402E+02,,,,
0.1985,4.505E+01,1.290E+02,1.400E+02,,,,
0.1990,4.471E+01,1.287E+02,1.398E+02,,,,
0.1995,4.438E+01,1.285E+02,1.396E+02,,,,
