Years,DetYr,A4/ScaledDelensing,A7/ScaledDelensing,,,,,,,,,,,,,,,A4/FixedDelensing,A7/FixedDelensing,,SPO-Years
18.4,5.17E+06,2.00E-04,2.70E-04,,,,,,,,,,,,,,,2.76E-04,3.39E-04,,102.05
18.5,5.20E+06,1.99E-04,2.69E-04,,,,,,,,,,,,,,,2.76E-04,3.38E-04,,102.60
18.6,5.23E+06,1.99E-04,2.68E-04,,,,,,,,,,,,,,,2.75E-04,3.38E-04,,103.16
18.7,5.25E+06,1.98E-04,2.67E-04,,,,,,,,,,,,,,,2.75E-04,3.37E-04,,103.71
18.8,5.28E+06,1.97E-04,2.66E-04,,,,,,,,,,,,,,,2.75E-04,3.37E-04,,104.27
18.9,5.31E+06,1.97E-04,2.65E-04,,,,,,,,,,,,,,,2.74E-04,3.36E-04,,104.82
19.0,5.34E+06,1.96E-04,2.65E-04,,,,,,,,,,,,,,,2.74E-04,3.36E-04,,105.38
19.1,5.37E+06,1.96E-04,2.64E-04,,,,,,,,,,,,,,,2.74E-04,3.35E-04,,105.93
19.2,5.39E+06,1.95E-04,2.63E-04,,,,,,,,,,,,,,,2.74E-04,3.35E-04,,106.48
19.3,5.42E+06,1.95E-04,2.62E-04,,,,,,,,,,,,,,,2.73E-04,3.34E-04,,107.04
19.4,5.45E+06,1.94E-04,2.61E-04,,,,,,,,,,,,,,,2.73E-04,3.34E-04,,107.59
19.5,5.48E+06,1.93E-04,2.61E-04,,,,,,,,,,,,,,,2.73E-04,3.33E-04,,108.15
19.6,5.51E+06,1.93E-04,2.60E-04,,,,,,,,,,,,,,,2.72E-04,3.33E-04,,108.70
19.7,5.53E+06,1.92E-04,2.59E-04,,,,,,,,,,,,,,,2.72E-04,3.32E-04,,109.26
19.8,5.56E+06,1.92E-04,2.58E-04,,,,,,,,,,,,,,,2.72E-04,3.32E-04,,109.81
19.9,5.59E+06,1.91E-04,2.57E-04,,,,,,,,,,,,,,,2.72E-04,3.31E-04,,110.37
20.0,5.62E+06,1.91E-04,2.57E-04,,,,,,,,,,,,,,,2.71E-04,3.31E-04,,110.92
